SRR,GSM,group,lib_size
SRR12850840,GSM4837824,AD,94209454
SRR12850841,GSM4837825,AD,90907974
SRR12850843,GSM4837827,AD,107703885
SRR12850844,GSM4837828,AD,93219982
SRR12850845,GSM4837829,AD,97483245
SRR12850846,GSM4837830,AD,96759573
SRR12850847,GSM4837831,AD,96211552
SRR12850848,GSM4837832,AD,88217764
SRR12850849,GSM4837833,AD,77168674
SRR12850850,GSM4837834,AD,94116767
SRR12850851,GSM4837835,AD,97058059
SRR12850852,GSM4837836,AD,90825284
SRR12850830,GSM4837814,Old,99524925
SRR12850831,GSM4837815,Old,94374698
SRR12850832,GSM4837816,Old,99500694
SRR12850833,GSM4837817,Old,109242102
SRR12850834,GSM4837818,Old,87454709
SRR12850835,GSM4837819,Old,96265445
SRR12850836,GSM4837820,Old,107962135
SRR12850837,GSM4837821,Old,115715886
SRR12850838,GSM4837822,Old,106758848
SRR12850839,GSM4837823,Old,89256101
SRR12850842,GSM4837826,Young,136383569
SRR12850853,GSM4837837,Young,74789690
SRR12850854,GSM4837838,Young,113099550
SRR12850855,GSM4837839,Young,112361776
SRR12850856,GSM4837840,Young,98945686
SRR12850857,GSM4837841,Young,103578731
SRR12850858,GSM4837842,Young,97100475
SRR12850859,GSM4837843,Young,87434546
